0,1,2,3,4,5
"{'key': 'rank', 'value': '351'}","{'key': 'revenues', 'value': '7003.00'}","{'key': 'industry', 'value': 'Metals'}","{'key': 'hqCity', 'value': 'West Chester'}","{'key': 'hqState', 'value': 'OH'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'AK Steel Holding Corporation'}"
"{'key': 'rank', 'value': '352'}","{'key': 'revenues', 'value': '6969.40'}","{'key': 'industry', 'value': 'Insurance: Property and Casualty (Stock)'}","{'key': 'hqCity', 'value': 'Madison'}","{'key': 'hqState', 'value': 'WI'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'American Family Ins. Group'}"
"{'key': 'rank', 'value': '370'}","{'key': 'revenues', 'value': '6566.10'}","{'key': 'industry', 'value': 'Internet Services and Retailing'}","{'key': 'hqCity', 'value': 'New York'}","{'key': 'hqState', 'value': 'NY'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'IAC/INTERACTIVECORP'}"
"{'key': 'rank', 'value': '371'}","{'key': 'revenues', 'value': '6566.00'}","{'key': 'industry', 'value': 'Trucking, Truck Leasing'}","{'key': 'hqCity', 'value': 'Miami'}","{'key': 'hqState', 'value': 'FL'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Ryder System, Inc.'}"
"{'key': 'rank', 'value': '361'}","{'key': 'revenues', 'value': '6792.00'}","{'key': 'industry', 'value': 'Pipelines'}","{'key': 'hqCity', 'value': 'Dallas'}","{'key': 'hqState', 'value': 'TX'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Energy Transfer Equity, L.P.'}"
"{'key': 'rank', 'value': '367'}","{'key': 'revenues', 'value': '6641.00'}","{'key': 'industry', 'value': 'Chemicals'}","{'key': 'hqCity', 'value': 'Dallas'}","{'key': 'hqState', 'value': 'TX'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Celanese Corporation'}"
"{'key': 'rank', 'value': '368'}","{'key': 'revenues', 'value': '6617.40'}","{'key': 'industry', 'value': 'Specialty Retailers'}","{'key': 'hqCity', 'value': 'Union'}","{'key': 'hqState', 'value': 'NJ'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Bed Bath &amp; Beyond, Inc.'}"
"{'key': 'rank', 'value': '369'}","{'key': 'revenues', 'value': '6591.80'}","{'key': 'industry', 'value': 'Food and Drug Stores'}","{'key': 'hqCity', 'value': 'Austin'}","{'key': 'hqState', 'value': 'TX'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Whole Foods Market, Inc.'}"
"{'key': 'rank', 'value': '372'}","{'key': 'revenues', 'value': '6563.20'}","{'key': 'industry', 'value': 'Industrial and Farm Equipment'}","{'key': 'hqCity', 'value': 'Towson'}","{'key': 'hqState', 'value': 'MD'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'The Black &amp; Decker Corporation'}"
"{'key': 'rank', 'value': '373'}","{'key': 'revenues', 'value': '6554.20'}","{'key': 'industry', 'value': 'Advertising, marketing'}","{'key': 'hqCity', 'value': 'New York'}","{'key': 'hqState', 'value': 'NY'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'The Interpublic Group of Companies, Inc.'}"
"{'key': 'rank', 'value': '374'}","{'key': 'revenues', 'value': '6538.40'}","{'key': 'industry', 'value': 'Telecommunications'}","{'key': 'hqCity', 'value': 'Bethpage'}","{'key': 'hqState', 'value': 'NY'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Cablevision Systems Corporation'}"
"{'key': 'rank', 'value': '375'}","{'key': 'revenues', 'value': '6535.80'}","{'key': 'industry', 'value': 'Aerospace and Defense'}","{'key': 'hqCity', 'value': 'Charlotte'}","{'key': 'hqState', 'value': 'NC'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Goodrich Corporation'}"
"{'key': 'rank', 'value': '362'}","{'key': 'revenues', 'value': '6772.30'}","{'key': 'industry', 'value': 'Publishing, Printing'}","{'key': 'hqCity', 'value': 'New York'}","{'key': 'hqState', 'value': 'NY'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'The McGraw-Hill Companies, Inc.'}"
"{'key': 'rank', 'value': '363'}","{'key': 'revenues', 'value': '6769.00'}","{'key': 'industry', 'value': 'Motor Vehicles and Parts'}","{'key': 'hqCity', 'value': 'Auburn Hills'}","{'key': 'hqState', 'value': 'MI'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Autoliv, Inc.'}"
"{'key': 'rank', 'value': '364'}","{'key': 'revenues', 'value': '6757.80'}","{'key': 'industry', 'value': 'Energy'}","{'key': 'hqCity', 'value': 'Waltham'}","{'key': 'hqState', 'value': 'MA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Global Partners LP'}"
"{'key': 'rank', 'value': '365'}","{'key': 'revenues', 'value': '6704.90'}","{'key': 'industry', 'value': 'Health Care: Pharmacy and Other Services'}","{'key': 'hqCity', 'value': 'Madison'}","{'key': 'hqState', 'value': 'NJ'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Quest Diagnostics Incorporated'}"
